Conductividad
Feofitina
Fósforo total
nitrato
nitrito
Oxígeno disuelto
pH
Salinidad
Sólidos totales suspendidos
Sulfato
Temperatura
Turbiedad
Clorofila a                                                (BIODIVERSA)
Cromo  hexavalente                             (ALS SANTIAGO)
Color                                                        (ALS SANTIAGO)
HAMs                                                      (ANAM)
HAPs                                                     (SGS-SANTIAGO)
Detergentes SAAM                               (HIDROLAB)
Índice Fenol                                            (HIDROLAB)
Hidrocarburos fijos                                (HIDROLAB)
Hidrocarburos totales                           (HIDROLAB)
Hidrocarburos volátiles                        (HIDROLAB)
Coliformes fecales                      (SGS -SANTIAGO)
Coliformes totales                      (SGS -SANTIAGO)
DBO5                                              (SGS -SANTIAGO)
Sólidos total y disuelto            (SGS -SANTIAGO))
Nitrógeno total Kjendahl           (SGS SANTIAGO)
Cianuro                                          (SGS SANTIAGO)
Fluoruro                                        (SGS SANTIAGO)
Aceites y grasas                           (SGS SANTIAGO)
Hidrocarburos alifáticos               (SGS SANTIAGO)
Cadmio total y disuelto                (U.CONCE)
Cobre total y disuelto                  (U.CONCE)
Cromo total y disuelto                (U.CONCE)
Estaño total y disuelto                (U.CONCE)
Hierro total y disuelto                 (U.CONCE)
Manganeso total y disuelto       (U.CONCE) 
Mercurio total y disuelto            (U.CONCE)
Molibdeno total y disuelto         (U.CONCE)
Plomo total y disuelto                  (U.CONCE)
Selenio total y disuelto                (U.CONCE)
Zinc disuelto y total                      (U.CONCE)
Aluminio total y disuelto             (U.CONCE)
Arsénico total y disuelto              (U.CONCE)
HAPs                              (ALS-SANTIAGO)
COT                                 (ALS-SANTIAGO)
GRANULOMETRIA       (AQUAGESTION)
MATERIA ORGÁNICA    (AQUAGESTION)
ACEITES Y GRASAS       (DICTUC)
HIDROCARBUROS TOTALES  (LUIS LOPEZ)
As total y disuelto  (U.CONCE)
Cd total y disuelto  (U.CONCE)
Cu total y disuelto  (U.CONCE)
Cr total y disuelto  (U.CONCE)
Hg total y disuelto  (U.CONCE)
Mo total y disuelto  (U.CONCE)
Pb total y disuelto  (U.CONCE)
Se total y disuelto  (U.CONCE)
Zn total y disuelto  (U.CONCE)
NITRÓGENO TOTAL KJENLDAHL  (SGS)
